project_type,discipline_scope,change_year,added_templates,removed_templates,previous_template_count,current_template_count
major_research_plan,B02,2017,,9{YY}27{SERIAL:03d},2,1
major_research_plan,B02,2018,9{YY}56{SERIAL:03d},,1,2
major_research_plan,B02,2019,9{YY}61{SERIAL:03d},9{YY}45{SERIAL:03d};9{YY}56{SERIAL:03d},2,1
major_research_plan,B02,2020,9{YY}45{SERIAL:03d},,1,2
major_research_plan,B02,2021,9{YY}56{SERIAL:03d};9{YY}63{SERIAL:03d},,2,4
major_research_plan,B02,2022,,9{YY}56{SERIAL:03d};9{YY}61{SERIAL:03d};9{YY}63{SERIAL:03d},4,1
major_research_plan,B03,2002,9{YY}06{SERIAL:03d};9{YY}10{SERIAL:03d},,2,4
major_research_plan,B03,2003,,9{YY}10{SERIAL:03d},4,3
major_research_plan,B03,2006,9{YY}10{SERIAL:03d},9{YY}01{SERIAL:03d};9{YY}03{SERIAL:03d},3,2
major_research_plan,B03,2009,9{YY}22{SERIAL:03d},9{YY}06{SERIAL:03d};9{YY}10{SERIAL:03d},2,1
major_research_plan,B03,2010,9{YY}23{SERIAL:03d};9{YY}27{SERIAL:03d},,1,3
major_research_plan,B03,2011,9{YY}21{SERIAL:03d},,3,4
major_research_plan,B03,2012,9{YY}33{SERIAL:03d},9{YY}22{SERIAL:03d};9{YY}23{SERIAL:03d},4,3
major_research_plan,B03,2013,,9{YY}21{SERIAL:03d},3,2
major_research_plan,B03,2014,9{YY}21{SERIAL:03d};9{YY}34{SERIAL:03d};9{YY}41{SERIAL:03d},,2,5
major_research_plan,B03,2015,9{YY}45{SERIAL:03d},9{YY}21{SERIAL:03d};9{YY}27{SERIAL:03d};9{YY}33{SERIAL:03d};9{YY}34{SERIAL:03d},5,2
major_research_plan,B03,2016,9{YY}22{SERIAL:03d};9{YY}34{SERIAL:03d},,2,4
major_research_plan,B03,2017,9{YY}53{SERIAL:03d},9{YY}22{SERIAL:03d};9{YY}34{SERIAL:03d},4,3
major_research_plan,B03,2018,9{YY}56{SERIAL:03d},9{YY}53{SERIAL:03d},3,3
major_research_plan,B03,2019,9{YY}53{SERIAL:03d};9{YY}61{SERIAL:03d},9{YY}41{SERIAL:03d};9{YY}45{SERIAL:03d};9{YY}56{SERIAL:03d},3,2
major_research_plan,B03,2020,,9{YY}53{SERIAL:03d},2,1
major_research_plan,B03,2021,9{YY}63{SERIAL:03d},,1,2
major_research_plan,B04,2004,9{YY}01{SERIAL:03d};9{YY}03{SERIAL:03d},9{YY}09{SERIAL:03d},3,4
major_research_plan,B04,2006,9{YY}07{SERIAL:03d},9{YY}01{SERIAL:03d};9{YY}03{SERIAL:03d};9{YY}08{SERIAL:03d},4,2
major_research_plan,B04,2007,9{YY}09{SERIAL:03d};9{YY}13{SERIAL:03d},9{YY}06{SERIAL:03d};9{YY}07{SERIAL:03d},2,2
major_research_plan,B04,2008,,9{YY}09{SERIAL:03d},2,1
major_research_plan,B04,2009,9{YY}22{SERIAL:03d},,1,2
major_research_plan,B04,2010,9{YY}27{SERIAL:03d},9{YY}13{SERIAL:03d};9{YY}22{SERIAL:03d},2,1
major_research_plan,B04,2011,9{YY}32{SERIAL:03d},,1,2
major_research_plan,B04,2012,9{YY}13{SERIAL:03d},,2,3
major_research_plan,B04,2013,,9{YY}13{SERIAL:03d};9{YY}27{SERIAL:03d},3,1
major_research_plan,B04,2014,9{YY}13{SERIAL:03d};9{YY}39{SERIAL:03d},,1,3
major_research_plan,B04,2015,9{YY}43{SERIAL:03d};9{YY}45{SERIAL:03d},9{YY}13{SERIAL:03d};9{YY}32{SERIAL:03d};9{YY}39{SERIAL:03d},3,2
major_research_plan,B04,2016,,9{YY}45{SERIAL:03d},2,1
major_research_plan,B04,2017,9{YY}32{SERIAL:03d};9{YY}53{SERIAL:03d},,1,3
major_research_plan,B04,2018,9{YY}51{SERIAL:03d};9{YY}56{SERIAL:03d};9{YY}59{SERIAL:03d},9{YY}32{SERIAL:03d};9{YY}43{SERIAL:03d},3,4
major_research_plan,B04,2019,9{YY}61{SERIAL:03d},9{YY}51{SERIAL:03d},4,4
major_research_plan,B04,2020,9{YY}68{SERIAL:03d},9{YY}56{SERIAL:03d};9{YY}59{SERIAL:03d},4,3
major_research_plan,B05,2002,9{YY}03{SERIAL:03d};9{YY}05{SERIAL:03d};9{YY}06{SERIAL:03d},,1,4
major_research_plan,B05,2004,,9{YY}03{SERIAL:03d};9{YY}05{SERIAL:03d};9{YY}06{SERIAL:03d},4,1
major_research_plan,B05,2006,9{YY}06{SERIAL:03d},9{YY}01{SERIAL:03d},1,1
major_research_plan,B05,2009,9{YY}22{SERIAL:03d},9{YY}06{SERIAL:03d},1,1
major_research_plan,B05,2010,9{YY}10{SERIAL:03d};9{YY}23{SERIAL:03d};9{YY}27{SERIAL:03d},,1,4
