approval_year,discipline_scope,project_type,unique_projects
1999,B05,key,2
1999,B05,special,1
1999,B05,youth_c,7
1999,B06,general,33
1999,B06,regional,1
1999,B06,youth_c,5
1999,B07,general,22
1999,B07,key,1
1999,B07,regional,4
1999,B07,youth_c,3
1999,B08,general,50
1999,B08,key,3
1999,B08,regional,5
1999,B08,special,2
1999,B08,youth_c,12
2000,B01,general,61
2000,B01,key,2
2000,B01,regional,4
2000,B01,special,11
2000,B01,youth_c,11
2000,B02,general,33
2000,B02,key,1
2000,B02,regional,2
2000,B02,special,3
2000,B02,youth_c,9
2000,B03,general,54
2000,B03,regional,2
2000,B03,special,8
2000,B03,youth_c,8
2000,B04,general,33
2000,B04,key,1
2000,B04,special,3
2000,B04,youth_c,7
2000,B05,general,28
2000,B05,key,1
2000,B05,regional,2
2000,B05,special,3
2000,B05,youth_c,4
2000,B06,general,35
2000,B06,key,1
2000,B06,regional,1
2000,B06,special,1
2000,B06,youth_c,5
2000,B07,general,19
2000,B07,key,1
2000,B07,regional,1
2000,B07,youth_c,6
2000,B08,general,52
2000,B08,key,1
2000,B08,regional,3
2000,B08,special,3
2000,B08,youth_c,15
2001,B01,general,82
2001,B01,key,7
2001,B01,major_research_plan,3
2001,B01,regional,2
2001,B01,special,11
2001,B01,youth_c,12
2001,B02,general,36
2001,B02,joint_fund,1
2001,B02,key,2
2001,B02,regional,1
2001,B02,special,3
2001,B02,youth_c,2
2001,B03,general,61
2001,B03,key,2
2001,B03,major_research_plan,3
2001,B03,regional,3
2001,B03,special,7
2001,B03,youth_c,11
2001,B04,general,41
2001,B04,key,1
2001,B04,regional,1
2001,B04,special,1
2001,B04,youth_c,7
2001,B05,general,28
2001,B05,key,2
2001,B05,major_research_plan,1
2001,B05,regional,1
2001,B05,youth_c,6
2001,B06,general,40
2001,B06,joint_fund,2
2001,B06,key,1
2001,B06,regional,2
2001,B06,special,1
2001,B06,youth_c,8
2001,B07,general,26
2001,B07,regional,3
2001,B07,special,1
2001,B07,youth_c,2
2001,B08,general,66
2001,B08,joint_fund,3
2001,B08,key,2
2001,B08,regional,4
2001,B08,special,2
2001,B08,youth_c,13
2002,B01,general,101
2002,B01,key,3
2002,B01,major_research_plan,6
2002,B01,regional,8
2002,B01,special,11
2002,B01,youth_c,29
2002,B02,general,44
2002,B02,joint_fund,2
2002,B02,key,2
2002,B02,major_research_plan,4
2002,B02,regional,3
2002,B02,special,4
2002,B02,youth_c,14
2002,B03,general,66
2002,B03,key,5
2002,B03,major_research_plan,12
2002,B03,regional,1
2002,B03,special,5
2002,B03,youth_c,14
2002,B04,general,47
2002,B04,key,1
2002,B04,major_research_plan,5
2002,B04,regional,2
2002,B04,special,6
2002,B04,youth_c,10
2002,B05,general,32
2002,B05,major_research_plan,8
2002,B05,regional,1
2002,B05,special,3
2002,B05,youth_c,5
2002,B06,general,46
2002,B06,key,1
2002,B06,regional,2
2002,B06,special,3
2002,B06,youth_c,15
2002,B07,general,34
2002,B07,key,1
2002,B07,major_research_plan,1
2002,B07,regional,5
2002,B07,special,5
2002,B07,youth_c,3
2002,B08,general,81
2002,B08,joint_fund,1
2002,B08,key,4
2002,B08,major_research_plan,6
2002,B08,regional,5
2002,B08,special,6
2002,B08,youth_c,34
2002,B09,general,2
2003,B01,general,102
2003,B01,joint_fund,1
2003,B01,key,4
2003,B01,major_research_plan,4
2003,B01,regional,5
2003,B01,special,9
2003,B01,youth_c,25
2003,B02,general,51
2003,B02,joint_fund,1
2003,B02,key,2
2003,B02,major_research_plan,3
2003,B02,regional,2
2003,B02,special,6
2003,B02,youth_c,14
2003,B03,general,66
2003,B03,key,8
2003,B03,major_research_plan,6
2003,B03,regional,1
2003,B03,special,4
2003,B03,youth_c,18
2003,B04,general,52
2003,B04,key,4
2003,B04,regional,1
2003,B04,special,8
2003,B04,youth_c,15
2003,B05,general,29
