candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,original_priority,followup_priority,existence_status,confirmed_sources,project_title_candidate,lead_investigator_candidate,institution_candidate,exact_web_query,funding_web_query,institution_site_query,next_action,official_confirmation_status,warning
51701178,E,2017,youth_c,E01,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51701178""","""51701178"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51701178""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51701197,E,2017,youth_c,E01,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51701197""","""51701197"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51701197""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51401218,E,2014,youth_c,E01,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51401218""","""51401218"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51401218""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51401229,E,2014,youth_c,E01,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51401229""","""51401229"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51401229""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51406162,E,2014,youth_c,E06,P1,P1_award_only,award_number_only,,,,,"""51406162""","""51406162"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51406162""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51406211,E,2014,youth_c,E06,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51406211""","""51406211"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51406211""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50876024,E,2008,general,E06,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50876024""","""50876024"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50876024""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50675013,E,2006,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50675013""","""50675013"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50675013""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50675021,E,2006,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50675021""","""50675021"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50675021""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50575112,E,2005,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50575112""","""50575112"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50575112""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50575146,E,2005,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50575146""","""50575146"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50575146""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50775046,E,2007,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50775046""","""50775046"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50775046""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50775103,E,2007,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50775103""","""50775103"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50775103""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
