approval_year,discipline_scope,project_type,unique_projects
1998,E07,regional,1
1998,E07,youth_c,6
1998,E08,general,46
1998,E08,key,3
1998,E08,regional,3
1998,E08,special,1
1998,E08,youth_c,12
1998,E09,general,24
1998,E09,key,1
1998,E09,regional,1
1998,E09,special,1
1998,E09,youth_c,7
1998,E10,general,16
1998,E10,key,2
1998,E10,youth_c,1
1998,E11,youth_c,1
1999,E01,general,67
1999,E01,key,3
1999,E01,regional,2
1999,E01,special,9
1999,E01,youth_c,13
1999,E02,general,45
1999,E02,key,3
1999,E02,regional,1
1999,E02,special,13
1999,E02,youth_c,13
1999,E03,general,28
1999,E03,key,2
1999,E03,regional,1
1999,E03,special,7
1999,E03,youth_c,8
1999,E04,general,35
1999,E04,key,2
1999,E04,regional,2
1999,E04,youth_c,8
1999,E05,general,88
1999,E05,key,3
1999,E05,regional,3
1999,E05,special,9
1999,E05,youth_c,23
1999,E06,general,47
1999,E06,key,2
1999,E06,regional,2
1999,E06,special,3
1999,E06,youth_c,14
1999,E07,general,24
1999,E07,key,2
1999,E07,regional,1
1999,E07,special,3
1999,E07,youth_c,5
1999,E08,general,44
1999,E08,key,2
1999,E08,regional,2
1999,E08,youth_c,13
1999,E09,general,22
1999,E09,key,1
1999,E09,regional,1
1999,E09,special,1
1999,E09,youth_c,5
1999,E10,general,15
1999,E10,special,1
1999,E10,youth_c,3
1999,E11,general,3
1999,E11,youth_c,2
2000,E01,general,69
2000,E01,key,1
2000,E01,regional,2
2000,E01,special,8
2000,E01,youth_c,14
2000,E02,general,46
2000,E02,key,2
2000,E02,regional,2
2000,E02,special,11
2000,E02,youth_c,15
2000,E03,general,30
2000,E03,key,1
2000,E03,regional,2
2000,E03,special,6
2000,E03,youth_c,9
2000,E04,general,36
2000,E04,key,1
2000,E04,regional,2
2000,E04,special,3
2000,E04,youth_c,9
2000,E05,general,91
2000,E05,key,1
2000,E05,regional,2
2000,E05,special,8
2000,E05,youth_c,27
2000,E06,general,48
2000,E06,regional,2
2000,E06,special,5
2000,E06,youth_c,16
2000,E07,general,27
2000,E07,special,2
2000,E07,youth_c,8
2000,E08,general,44
2000,E08,key,1
2000,E08,regional,1
2000,E08,youth_c,13
2000,E09,general,26
2000,E09,key,1
2000,E09,regional,1
2000,E09,special,1
2000,E09,youth_c,7
2000,E10,general,15
2000,E10,regional,1
2000,E10,special,1
2000,E10,youth_c,5
2000,E11,general,2
2001,E01,general,73
2001,E01,joint_fund,8
2001,E01,key,5
2001,E01,regional,2
2001,E01,special,5
2001,E01,youth_c,11
2001,E02,general,60
2001,E02,joint_fund,3
2001,E02,key,4
2001,E02,major_research_plan,4
2001,E02,regional,2
2001,E02,special,2
2001,E02,youth_c,9
2001,E03,general,33
2001,E03,joint_fund,3
2001,E03,key,2
2001,E03,major_research_plan,6
2001,E03,regional,1
2001,E03,special,5
2001,E03,youth_c,11
2001,E04,general,41
2001,E04,joint_fund,22
2001,E04,key,2
2001,E04,regional,4
2001,E04,special,2
2001,E04,youth_c,13
2001,E05,general,112
2001,E05,joint_fund,6
2001,E05,key,5
2001,E05,regional,1
2001,E05,special,4
2001,E05,youth_c,22
2001,E06,general,52
2001,E06,joint_fund,2
2001,E06,key,4
2001,E06,regional,2
2001,E06,special,2
2001,E06,youth_c,16
2001,E07,general,28
2001,E07,joint_fund,1
2001,E07,key,3
2001,E07,regional,1
2001,E07,special,1
2001,E07,youth_c,10
2001,E08,general,55
2001,E08,joint_fund,2
2001,E08,special,2
2001,E08,youth_c,14
2001,E09,general,32
2001,E09,key,4
2001,E09,regional,2
2001,E09,special,2
2001,E09,youth_c,5
2001,E10,general,20
2001,E10,key,2
2001,E10,regional,1
2001,E10,special,1
2001,E10,youth_c,4
2001,E11,general,4
2002,E01,general,81
2002,E01,joint_fund,4
2002,E01,key,4
2002,E01,major_research_plan,3
2002,E01,regional,4
2002,E01,special,2
2002,E01,youth_c,20
2002,E02,general,82
2002,E02,joint_fund,2
2002,E02,key,5
2002,E02,major_research_plan,22
2002,E02,regional,2
2002,E02,special,6
2002,E02,youth_c,18
2002,E03,general,46
2002,E03,joint_fund,2
2002,E03,key,3
2002,E03,major_research_plan,9
2002,E03,regional,2
2002,E03,special,6
2002,E03,youth_c,16
2002,E04,general,56
2002,E04,joint_fund,24
2002,E04,key,4
2002,E04,major_research_plan,7
2002,E04,regional,4
2002,E04,special,5
2002,E04,youth_c,14
2002,E05,general,154
2002,E05,key,4
2002,E05,major_research_plan,5
2002,E05,regional,2
2002,E05,special,2
2002,E05,youth_c,27
2002,E06,general,73
2002,E06,joint_fund,3
2002,E06,key,3
2002,E06,major_research_plan,15
2002,E06,special,2
2002,E06,youth_c,26
2002,E07,general,39
2002,E07,joint_fund,1
2002,E07,key,3
2002,E07,major_research_plan,3
2002,E07,regional,1
2002,E07,special,1
2002,E07,youth_c,11
2002,E08,general,84
2002,E08,joint_fund,1
2002,E08,key,3
2002,E08,regional,3
2002,E08,special,2
2002,E08,youth_c,14
2002,E09,general,43
2002,E09,joint_fund,13
2002,E09,key,2
2002,E09,major_research_plan,4
2002,E09,regional,2
2002,E09,special,2
2002,E09,youth_c,13
2002,E10,general,20
2002,E10,joint_fund,4
2002,E10,key,2
2002,E10,regional,1
2002,E10,youth_c,6
2002,E11,general,3
2002,E11,youth_c,1
2003,E01,general,100
2003,E01,joint_fund,6
2003,E01,key,4
2003,E01,major_research_plan,1
2003,E01,regional,4
2003,E01,special,2
2003,E01,youth_c,18
2003,E02,general,85
2003,E02,joint_fund,1
2003,E02,key,6
2003,E02,major_research_plan,8
2003,E02,regional,3
2003,E02,special,7
2003,E02,youth_c,16
2003,E03,general,53
2003,E03,key,5
2003,E03,major_research_plan,3
2003,E03,regional,1
