segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1990|special|E05|59085|3,1,433,440,8,59085433,59085440
1990|special|E06|59086|3,1,441,443,3,59086441,59086443
1990|youth_c|E01|59001|3,1,444,456,13,59001444,59001456
1990|youth_c|E02|59002|3,1,457,461,5,59002457,59002461
1990|youth_c|E03|59003|3,1,462,464,3,59003462,59003464
1990|youth_c|E04|59004|3,1,465,468,4,59004465,59004468
1990|youth_c|E05|59005|3,1,469,481,13,59005469,59005481
1990|youth_c|E06|59006|3,1,482,489,8,59006482,59006489
1990|youth_c|E07|59007|3,1,490,492,3,59007490,59007492
1990|youth_c|E08|59008|3,1,493,493,1,59008493,59008493
1990|youth_c|E08|59008|3,2,495,495,1,59008495,59008495
1990|youth_c|E08|59008|3,3,497,503,7,59008497,59008503
1990|youth_c|E09|59009|3,1,504,507,4,59009504,59009507
1990|youth_c|E10|59008|3,1,494,494,1,59008494,59008494
1990|youth_c|E10|59008|3,2,496,496,1,59008496,59008496
1990|youth_c|E10|59009|3,1,508,508,1,59009508,59009508
1991|general|E01|59171|3,1,1,9,9,59171001,59171009
1991|general|E01|59171|3,2,11,67,57,59171011,59171067
1991|general|E02|59172|3,1,68,107,40,59172068,59172107
1991|general|E03|59173|3,1,108,132,25,59173108,59173132
1991|general|E04|59174|3,1,133,156,24,59174133,59174156
1991|general|E05|59175|3,1,157,240,84,59175157,59175240
1991|general|E06|59176|3,1,241,283,43,59176241,59176283
1991|general|E07|59177|3,1,284,303,20,59177284,59177303
1991|general|E08|59178|3,1,304,321,18,59178304,59178321
1991|general|E08|59178|3,2,331,363,33,59178331,59178363
1991|general|E09|59179|3,1,365,386,22,59179365,59179386
1991|general|E09|59179|3,2,389,390,2,59179389,59179390
1991|general|E10|59178|3,1,322,330,9,59178322,59178330
1991|general|E10|59179|3,1,387,388,2,59179387,59179388
1991|general|E11|59179|3,1,364,364,1,59179364,59179364
1991|key|E01|59131|3,1,10,12,3,59131010,59131012
1991|key|E01|59131|3,2,20,24,5,59131020,59131024
1991|key|E02|59132|3,1,30,34,5,59132030,59132034
1991|key|E03|59133|3,1,40,40,1,59133040,59133040
1991|key|E04|59134|3,1,50,53,4,59134050,59134053
1991|key|E05|59139|3,1,93,93,1,59139093,59139093
1991|key|E06|59136|3,1,60,63,4,59136060,59136063
1991|key|E07|59137|3,1,70,72,3,59137070,59137072
1991|key|E09|59139|3,1,90,92,3,59139090,59139092
1991|key|E10|59138|3,1,80,82,3,59138080,59138082
1991|regional|E01|59161|3,1,1,1,1,59161001,59161001
1991|regional|E02|59162|3,1,2,2,1,59162002,59162002
1991|regional|E03|59163|3,1,3,3,1,59163003,59163003
1991|regional|E04|59164|3,1,4,4,1,59164004,59164004
1991|regional|E05|59165|3,1,5,6,2,59165005,59165006
1991|regional|E06|59166|3,1,7,7,1,59166007,59166007
1991|regional|E08|59168|3,1,8,8,1,59168008,59168008
1991|regional|E09|59169|3,1,9,10,2,59169009,59169010
1991|special|E01|59141|3,1,4,4,1,59141004,59141004
